id,address,bedroom_nums,bathroom_nums,car_spaces,land_size,price
2777,"4 Shoalhaven Street, Wakeley",4,2,3,569m²,"$1,350,000"
2778,"16 Tiger Street, Silverdale",4,2,2,450m²,"$1,285,000"
2779,"100 Princeton Avenue, Adamstown Heights",4,1,2,562.8m²,"$1,260,000"
2780,"5 Abidi Street, Spring Farm",4,2,2,450m²,"$1,250,000"
2781,"13 Letitia Close, Green Point",4,2,4,539m²,"$1,250,000"
2782,"9 Cleaver Street, Googong",4,2,2,544m²,"$1,250,000"
2783,"6 Mackellar St, Casula",4,2,4,454m²,"$1,250,000"
2784,"38 Bonville Parkway, Shell Cove",3,2,2,415m²,"$1,192,500"
2785,"16 Forfar Street, Stockton",3,2,3,518m²,"$1,175,000"
2786,"34A New Mount Pleasant Road, Balgownie",3,2,2,470m²,"$1,170,000"
2787,"27 Gordon Road, Long Jetty",3,2,1,455m²,"$1,160,000"
2788,"27 Vines Way, Catherine Field",4,2,2,409.9m²,"$1,147,000"
2789,"24 Valencia Street, Bensville",3,3,1,461m²,"$1,100,000"
2790,"1a Elvys Avenue, Yattalunga",4,1,2,544m²,"$1,061,000"
2791,"1 Perkins Street, Oakdale",4,2,2,587m²,"$1,050,000"
2792,"40 Macadamia Circuit, Medowie",3,2,2,501m²,"$974,000"
2793,"49 Barree Avenue, Narara",4,2,1,524.8m²,"$960,000"
2794,"259 Cygnet Drive, Berkeley Vale",4,2,2,537m²,"$885,000"
2795,"14 Hazel Close, Berkeley Vale",3,1,1,556.4m²,"$870,000"
2796,"12 Oceania Street, Forster",4,2,2,450m²,"$850,000"
2797,"28 Heaton Street, Jesmond",3,2,1,534.74m²,"$820,000"
2798,"5 Taminga Road, Cliftleigh",4,2,2,509.1m²,"$812,000"
2799,"34 Rosemary Avenue, Bawley Point",2,2,1,588m²,"$810,000"
2800,"94 John Parade, Lemon Tree Passage",6,2,2,572m²,"$810,000"
2801,"4 Woodlands Road, Katoomba",3,1,1,462m²,"$780,000"
2802,"27 Aquamarine Drive, Toormina",4,1,2,518.4m²,"$779,000"
2803,"284 Shellharbour Road, Barrack Heights",3,1,3,462m²,"$760,000"
2804,"19 Evelyn Crescent, Thornton",3,1,1,551m²,"$726,000"
2805,"38 Waugh Street, Wauchope",3,1,1,497m²,"$560,000"
2806,"9 Short Street, Kyogle",3,1,,499.5m²,"$540,000"
2807,"882 Waugh Road, North Albury",4,1,6,426m²,"$510,000"
2808,"14 Edward Street, Wollongong",5,3,2,533m²,"$2,900,000"
2809,"27 Smith Street, Wollongong",4,3,3,529.2m²,"$2,600,000"
2810,"24 Lancaster Avenue, Melrose Park",4,2,2,575.4m²,"$2,550,000"
2811,"52 Kennedy Street, Picnic Point",6,3,4,550m²,"$2,452,000"
2812,"6 Benelong Avenue, Smithfield",6,5,2,580m²,"$2,408,000"
2813,"30 Kempster Road, Merewether",4,3,2,582m²,"$2,065,000"
2814,"27 Marcella Street, Kingsgrove",5,2,2,442.6m²,"$1,930,000"
2815,"7 Ivory Street, The Ponds",4,2,2,510m²,"$1,820,000"
2816,"87 Hodge Street, Hurstville",2,1,6,512m²,"$1,816,000"
2817,"5 Langdale Avenue, Revesby",4,2,3,569m²,"$1,669,000"
2818,"34 Jubilee Street, Wahroonga",4,1,3,556.4m²,"$1,651,000"
2819,"14 The Valley Way, Lisarow",5,3,2,530m²,"$1,600,000"
2820,"51 Kennington Avenue, Quakers Hill",5,2,2,594m²,"$1,580,000"
2821,"30 Kiarama Avenue, Kiama Downs",4,2,,573m²,"$1,580,000"
2822,"27 Llewellyn Street, Saratoga",4,3,2,588m²,"$1,450,000"
2823,"28 Anvil Avenue, Elderslie",4,2,2,473.9m²,"$1,420,000"
2824,"Address available on request, New Lambton",4,2,2,564m²,"$1,415,000"
2825,"10 Samoa Avenue, Picnic Point",3,1,1,556m²,"$1,400,000"
2826,"18 Levendale Street, West Hoxton",4,3,2,520m²,"$1,380,000"
2827,"60 Karloo Road, Umina Beach",4,2,2,588m²,"$1,370,000"
2828,"1 Quayside Court, Tweed Heads",4,2,2,492m²,"$1,350,000"
2829,"14 Hurley Street, Toongabbie",3,2,1,556.4m²,"$1,282,000"
2830,"10 McTavish Street, Googong",4,3,2,540m²,"$1,195,000"
2831,"139 Sandakan Road, Revesby Heights",3,1,1,562m²,"$1,185,000"
2832,"24 Lonsdale Street, St Marys",5,1,2,588m²,"$1,170,000"
2833,"1/9 Uranus Road, Padstow",3,1,2,408m²,"$1,150,000"
2834,"1 Mallee Crescent, Tahmoor",4,2,2,553m²,"$1,102,000"
2835,"20 & 20A Raymond Ave, Campbelltown",5,2,2,587m²,"$1,065,000"
2836,"69 Broughton Street, Camden",3,1,3,446m²,"$1,050,000"
2837,"19 Pastures Street, Cumbalum",4,2,2,456m²,"$1,050,000"
2838,"10 Ability Avenue, Tanilba Bay",4,2,2,584m²,"$1,010,000"
2839,"23 Cooinda Street, Colyton",5,2,3,556m²,"$1,000,000"
2840,"77 Mary Street, Googong",4,2,2,585m²,"$990,000"
2841,"15 Donegal Road, Berkeley Vale",4,2,1,596m²,"$990,000"
2842,"86 Grange Crescent, Cambridge Gardens",4,1,2,572m²,"$985,000"
2843,"49 Timms Place, Horsley",4,2,2,556m²,"$980,000"
2844,"41 Westminster Street, Rooty Hill",3,1,,569.1m²,"$970,000"
2845,"10 Kingsley Close, South Windsor",3,2,2,454m²,"$900,000"
2846,"36 Scenic Crescent, Albion Park",3,2,2,559m²,"$900,000"
2847,"134 Victoria Street, Kingswood",3,1,2,581m²,"$850,000"
2848,"13 Malvern Road, Lemon Tree Passage",2,2,2,574m²,"$815,000"
2849,"157 Harbord Street, Bonnells Bay",4,2,2,405m²,"$780,000"
2850,"115 Gladstone Street, Mudgee",2,2,4,564m²,"$759,000"
2851,"8 Gundagai Place, Coffs Harbour",4,2,1,575m²,"$757,500"
2852,"76 Janggal Janggal Road, Nambucca Heads",4,2,2,492m²,"$755,000"
2853,"4 Julie Ann Court, Hyland Park",4,2,2,509m²,"$745,000"
2854,"11 Moore Street, Caerleon",4,2,2,451m²,"$730,000"
2855,"1 She Oak Terrace, Cessnock",4,2,2,475m²,"$715,000"
2856,"6 Denman Way, Booragul",3,1,2,563m²,"$700,000"
2857,"7 Murrumbong Road, Summerland Point",4,2,1,471.7m²,"$700,000"
2858,"80 Station Street, Weston",3,1,1,411m²,"$565,000"
2859,"168 Chapple Lane, Broken Hill",3,1,,524m²,"$180,000"
2860,"1 Lanark Avenue, Earlwood",3,2,3,531m²,"$2,420,000"
2861,"7A Sherwin Avenue, Castle Hill",3,2,2,410m²,"$1,725,000"
2862,"21 Cardiff Way, Castle Hill",3,2,1,458.3m²,"$1,700,000"
2863,"44 Woy Woy Bay Road, Woy Woy Bay",4,2,2,465m²,"$1,370,000"
2864,"24 Cardew Crescent, Bradbury",7,4,2,454m²,"$1,350,000"
2865,"15 Surrey Avenue, Georges Hall",4,1,3,594.4m²,"$1,333,000"
2866,"48 Bombala Street, Pendle Hill",3,1,1,543.8m²,"$1,320,000"
2867,"5 Kavanagh Street, Gregory Hills",5,3,2,468.7m²,"$1,305,000"
2868,"7 Ashley Avenue, Farmborough Heights",5,2,2,598m²,"$1,305,000"
2869,"79 Doris Avenue, Woonona",4,1,1,588m²,"$1,300,000"
2870,"35 Lalor Crescent, Engadine",4,2,2,569m²,"$1,270,000"
2871,"56 Easton Avenue, Spring Farm",4,2,2,455m²,"$1,171,000"
2872,"1 Port Stephens Street, Tea Gardens",4,2,2,457.5m²,"$1,165,000"
2873,"4 Bluey Street, Middleton Grange",3,2,2,450m²,"$1,150,000"
2874,"103 Brown Road, Bonnyrigg",3,1,1,563.1m²,"$1,135,000"
2875,"9 Greenvale Road, Green Point",4,1,2,585m²,"$1,130,000"
2876,"5 Fothergill Place, Tahmoor",5,3,2,452m²,"$1,100,000"
2877,"14 Kale Road, Spring Farm",4,2,2,450m²,"$1,085,000"
2878,"11 Diversity Avenue, Cumbalum",3,2,2,455.3m²,"$1,075,000"
2879,"49 Oriole Street, Glenmore Park",3,2,3,450m²,"$1,004,000"
2880,"10 Thornbill Crescent, Braemar",4,2,2,525m²,"$980,000"
2881,"384 Bong Bong Road, Horsley",4,2,2,463.8m²,"$968,000"
2882,"2 Fontana Close, St Clair",3,1,3,455m²,"$960,000"
2883,"22 Lowry Road, Lalor Park",3,1,3,556.4m²,"$955,000"
2884,"1a Driftwood Court, Coffs Harbour",4,2,1,403.8m²,"$890,000"
2885,"23 Burke Road, Dapto",3,1,1,556m²,"$850,000"
2886,"15 Malua Street, Malua Bay",3,2,2,594m²,"$840,000"
2887,"14 Phegans Bay Road, Phegans Bay",2,1,,562m²,"$820,000"
2888,"3 Sunset Drive, Thornton",4,2,2,549.7m²,"$815,000"
2889,"21 Osborn Close, Thornton",3,1,1,582m²,"$750,000"
2890,"7 Bellevue Road, Mudgee",4,2,2,592m²,"$700,000"
2891,"3 Pindari Road, Forster",4,2,1,584m²,"$695,000"
2892,"31 Murray Street, Goulburn",3,1,1,533m²,"$623,000"
2893,"15 Carlton Avenue, Goonellabah",3,1,2,512.8m²,"$440,000"
2894,"8 McDonough Avenue, Mount Austin",2,1,1,550.1m²,"$390,000"
2895,"94 Armitree Street, Kingsgrove",5,4,3,490m²,"$2,600,000"
2896,"18 Maria Street, Strathfield South",3,1,3,531m²,"$2,500,000"
2897,"68 Waterview Street, Shelly Beach",3,2,4,575m²,"$2,460,000"
2898,"27 Sandhurst Crescent, Glenhaven",4,2,2,434m²,"$2,375,000"
2899,"40 Coreen Drive, Wamberal",5,3,2,502m²,"$1,550,000"
2900,"57 Kingsgrove Road, Belmore",2,2,2,442m²,"$1,550,000"
2901,"58 Gregory Street, Greystanes",3,2,2,569.1m²,"$1,520,000"
2902,"2 Ward Close, Prairiewood",5,3,2,555m²,"$1,422,000"
2903,"4 Rensberg Way, Edmondson Park",4,2,2,457m²,"$1,410,000"
2904,"32 Blackwood Street, Claremont Meadows",4,2,2,560m²,"$1,379,000"
2905,"19 Lawrence Rise, Cumbalum",4,2,2,562.8m²,"$1,310,000"
2906,"266 Beaumont Street, Hamilton South",3,2,2,556.4m²,"$1,300,000"
2907,"34 Kialoa Circuit, Shell Cove",4,2,2,547.7m²,"$1,300,000"
2908,"22 Bayswood Avenue, Vincentia",5,3,2,567m²,"$1,180,000"
2909,"35 Winten Drive, Glendenning",4,2,1,450m²,"$1,180,000"
2910,"8/41-47 Skinner Street, Ballina",4,3,2,567m²,"$1,165,000"
2911,"7 Sarah Place, Minchinbury",3,1,3,593m²,"$1,155,000"
2912,"45 The Broadwaters, Tascott",4,2,2,486.9m²,"$1,115,000"
2913,"54 Lorikeet Avenue, Ingleburn",3,1,1,562m²,"$1,047,500"
2914,"11 Hargrave Road, Lalor Park",3,2,1,594.4m²,"$1,030,000"
2915,"4 Sercial Place, Eschol Park",4,3,1,566.4m²,"$1,010,000"
2916,"5 Cotula Street, Tralee",4,2,2,435m²,"$990,000"
2917,"8 Durali Road, Glenmore Park",3,1,2,548.2m²,"$980,000"
2918,"59 Andrew Thompson Drive, McGraths Hill",3,2,2,548m²,"$975,000"
2919,"91 Hoyle Drive, Dean Park",3,1,1,550m²,"$966,000"
2920,"11 Braemar Avenue, St Andrews",3,2,2,585.2m²,"$950,000"
2921,"11 Biyung Street, Fletcher",4,2,2,495m²,"$925,000"
2922,"45 Flinders Avenue, Camden South",4,2,,556.4m²,"$890,000"
2923,"96 Hertford Street, Berkeley",3,1,4,565m²,"$890,000"
2924,"19 Wolseley Street, Milton",2,2,,500m²,"$885,000"
2925,"52 Great Western Highway, Colyton",3,1,2,595m²,"$870,000"
2926,"27 Catalina Street, North St Marys",2,1,,522m²,"$855,000"
2927,"10 Surfsea Avenue, Sandy Beach",4,2,2,600m²,"$850,000"
2928,"30 Robertson Road, Valentine",3,1,2,512m²,"$848,000"
2929,"12 Redbox Street, Orange",4,2,2,543m²,"$845,000"
2930,"10 Lendine Street, Barrack Heights",3,1,2,568m²,"$830,000"
2931,"20 Brooker Drive, North Rothbury",4,1,2,527m²,"$820,000"
2932,"30 Sandgate Road, Wallsend",2,1,2,577.9m²,"$810,000"
2933,"112 Kallaroo Road, San Remo",3,1,1,588m²,"$725,000"
2934,"13 Gleneagle Parade, North Nowra",3,2,1,565m²,"$705,000"
2935,"112 Alton Road, Raymond Terrace",3,1,3,574m²,"$700,000"
2936,"8 Heydon Avenue, Turvey Park",4,2,1,493.2m²,"$700,000"
2937,"70 Mulgoa Way, Mudgee",3,2,1,417m²,"$650,000"
2938,"6 Watt Street, Windermere Park",2,1,1,486m²,"$630,000"
2939,"24 Hay Street, Lithgow",3,1,1,499.5m²,"$442,000"
2940,"76 Bloomfield Street, South Kempsey",3,1,1,448.9m²,"$390,000"
2941,"30 Jenkinson Drive, Elizabeth Hills",5,4,2,510m²,"$2,330,000"
2942,"220 Glenwood Park Drive, Glenwood",5,2,2,550m²,"$1,800,000"
2943,"8 Reis Street (TALLAWONG),, Schofields",4,2,2,402.8m²,"$1,400,250"
2944,"20 Doolan Street, Dean Park",4,1,1,597.2m²,"$996,000"
2945,"81 Janggal Janggal Road, Nambucca Heads",4,2,2,514m²,"$770,000"
2946,"5 Lyndhurst Crescent, Hunters Hill",4,2,4,562m²,"$5,500,000"
2947,"71 Champion Road, Tennyson Point",4,2,2,510m²,"$4,051,000"
2948,"62 Hudson Street, Hurstville",7,6,2,518m²,"$3,625,000"
2949,"18 Green Street, Kogarah",7,4,2,575.4m²,"$3,268,888"
2950,"12 Miller Avenue, Ashfield",4,2,3,512m²,"$3,205,000"
2951,"13 Wellington Road, Hurstville",8,5,2,520m²,"$3,047,000"
2952,"88 Bayview Road, Canada Bay",4,2,2,479m²,"$2,965,000"
2953,"29 Boronia Avenue, Beecroft",3,2,1,515.1m²,"$2,600,000"
2954,"6 The Avenue, Hurlstone Park",4,3,4,436.3m²,"$2,500,000"
2955,"5 Manildra Street, Earlwood",3,2,3,486m²,"$2,425,000"
2956,"1/90 Morts Road, Mortdale",4,3,4,545m²,"$2,300,000"
2957,"2 Woodward Street, Ermington",4,2,2,592m²,"$2,265,000"
2958,"24 Arthur Street, Carlton",4,2,1,556m²,"$2,115,000"
2959,"6 Sunhill Place, North Ryde",3,2,2,542m²,"$2,050,000"
2960,"71 Shaw Street, Bexley North",3,1,2,455m²,"$1,975,000"
2961,"8 Jeffrey Street, Kurnell",4,3,3,581m²,"$1,888,000"
2962,"30B Cook Street, Caringbah South",3,2,2,422.3m²,"$1,860,000"
2963,"2C Beaconsfield Street, Bexley",3,2,1,455m²,"$1,800,000"
2964,"8 Trevone Street, Padstow",3,1,3,556m²,"$1,741,000"
2965,"202 Stoney Creek Road, Bexley",4,2,3,455m²,"$1,740,000"
2966,"323 Blacktown Road, Seven Hills",5,3,4,569.1m²,"$1,725,000"
2967,"123 Rawson Road, Greenacre",6,4,4,524m²,"$1,700,000"
2968,"42 Allison Avenue, Condell Park",5,2,4,556.4m²,"$1,690,500"
2969,"63 Chamberlain Road, Padstow",3,1,2,563m²,"$1,651,000"
2970,"63 Welfare Avenue, Narwee",3,1,4,460m²,"$1,650,000"
2971,"20 Broadbent Avenue, Middleton Grange",5,3,2,499m²,"$1,625,000"
2972,"213 Cooper Road, Yagoona",4,2,1,556m²,"$1,606,000"
2973,"18 Pambula Road, Engadine",3,1,2,594.4m²,"$1,550,000"
2974,"17 Henderson Avenue, Panania",4,2,1,489m²,"$1,510,000"
2975,"66 Valentia Avenue, Lugarno",2,1,2,550m²,"$1,475,000"
2976,"39 Cockthorpe Road, Auburn",2,1,1,508m²,"$1,430,000"
2977,"96 Elm Road, Auburn",3,1,1,442m²,"$1,375,000"
2978,"84 Rosemont Street, Punchbowl",3,2,1,454m²,"$1,305,000"
2979,"161 Pacific Palms Circuit, Hoxton Park",6,3,2,466.4m²,"$1,286,000"
2980,"50 Salisbury Road, Guildford",5,2,1,463.8m²,"$1,272,000"
2981,"9 Tallowwood Avenue, Casula",3,1,3,557m²,"$1,260,000"
2982,"54 Bombala Crescent, Quakers Hill",3,1,2,558m²,"$1,250,000"
2983,"116 Victoria Street, Smithfield",4,1,2,594m²,"$1,190,000"
2984,"20 Gove Avenue, Green Valley",3,1,5,563m²,"$1,170,000"
2985,"71 Fairmont Boulevard, Hamlyn Terrace",5,3,2,593m²,"$1,120,000"
2986,"1 Books Street, Dean Park",3,1,2,600m²,"$1,085,000"
2987,"193 Victoria Road, Punchbowl",3,1,1,531m²,"$1,070,000"
2988,"19 Nellie Stewart Drive, Doonside",3,1,1,582m²,"$1,010,000"
2989,"3 Kester Crescent, Oakhurst",3,1,1,450m²,"$961,000"
2990,"1 Cassilis Street, Mount Victoria",4,2,2,506m²,"$846,000"
2991,"73 Brisbane Street, East Maitland",3,1,1,411m²,"$650,000"
2992,"284 Beauchamp Road, Matraville",4,3,4,512m²,"$2,950,000"
2993,"54 Stoneyhurst Drive, Lennox Head",5,2,4,600m²,"$2,140,000"
2994,"37 Hopman Street, Greystanes",4,3,3,556m²,"$2,120,000"
2995,"6 Edna Avenue, Penshurst",3,2,2,531m²,"$2,050,000"
2996,"1 Glenview Avenue, Earlwood",3,1,1,442m²,"$1,975,000"
2997,"114 Darvall Road, West Ryde",2,1,1,518.5m²,"$1,905,000"
2998,"55 Bershire Avenue, Merewether Heights",3,1,2,569.1m²,"$1,700,000"
2999,"3 Gannet Place, Acacia Gardens",4,3,2,555m²,"$1,615,000"
3000,"56 Dudley Street, Rydalmere",4,1,2,564m²,"$1,560,000"
3001,"10 Gordon Avenue, Black Head",4,3,2,443m²,"$1,505,000"
3002,"24 Barbin Drive, Crangan Bay",4,2,3,578m²,"$1,390,000"
3003,"48 Navala Avenue, Nelson Bay",5,3,2,565m²,"$1,365,000"
3004,"56 James Street, Morpeth",4,2,4,575m²,"$1,360,000"
3005,"51 Roy Sheargold Avenue, Wongawilli",4,2,2,450m²,"$1,320,000"
3006,"25 Thurlow Avenue, Nelson Bay",3,2,,560m²,"$1,290,000"
3007,"23 Stornaway Crescent, Berkeley Vale",4,2,2,540m²,"$1,275,000"
3008,"19 Lakewood Avenue, Green Point",3,2,2,556m²,"$1,151,000"
3009,"65 Faulkland Cres, Kings Park",3,1,2,551m²,"$1,120,000"
3010,"58A Spitzer Street, Gregory Hills",4,2,2,411m²,"$1,070,000"
3011,"4 Wabba Street, Marayong",3,1,5,557.5m²,"$1,055,000"
3012,"87 Palmerston Road, Mount Druitt",5,3,4,562m²,"$1,050,000"
3013,"14 Cabrera Street, Thirlmere",4,3,2,451m²,"$1,030,000"
3014,"7 Mirage Avenue, Raby",4,2,4,584.6m²,"$1,020,000"
3015,"210 Buckwell Drive, Hassall Grove",3,1,3,456m²,"$985,000"
3016,"92 Alpine Ash Way, Tralee",4,2,2,444m²,"$975,500"
3017,"16 North Barrington Road, Woongarrah",4,2,2,581.9m²,"$955,000"
3018,"21 Sandcastle Street, Fern Bay",4,2,2,517m²,"$950,000"
3019,"66 Woodley Crescent, Glendenning",3,1,1,520m²,"$925,000"
3020,"47 Scenic Crescent, Albion Park",4,3,2,580m²,"$925,000"
3021,"17 Nithsdle Street, Cameron Park",4,2,2,600m²,"$910,000"
3022,"4/4 Coronation Street, Bellingen",2,1,2,485m²,"$910,000"
3023,"39 Mayo Crescent, Chisholm",4,2,2,588m²,"$890,000"
3024,"30 Davis Avenue, Davistown",3,1,2,481m²,"$885,000"
3025,"14 Beverley Avenue, Unanderra",3,2,2,550m²,"$878,000"
3026,"97 Melbourne Street, Oxley Park",3,1,1,560m²,"$857,000"
3027,"11 Stephens Avenue, Glendale",2,1,2,472m²,"$840,000"
3028,"74 Albatross Way, Old Bar",4,2,2,574.8m²,"$810,000"
3029,"25 Station Road, Albion Park Rail",4,1,1,506m²,"$785,000"
3030,"61 Campbell Parade, Mannering Park",3,1,1,565m²,"$782,000"
3031,"96 Radford Street, Cliftleigh",4,2,2,482.2m²,"$755,000"
3032,"15 Maud Street, Mayfield West",3,1,2,446m²,"$750,000"
3033,"12 Thrower Avenue, Coramba",4,1,1,525m²,"$740,000"
3034,"573 Eleven Mile Drive, Eglinton",4,2,2,465.9m²,"$705,000"
3035,"12 Watts Street, West Kempsey",3,2,2,572m²,"$672,500"
3036,"524 Yamba Road, Maclean",3,1,2,414m²,"$547,000"
3037,"15 Georges Lane, Taree",3,1,1,489m²,"$415,000"
3038,"2 Wattle Street, Dubbo",4,1,2,568m²,"$405,000"
3039,"39A Mobbs Lane, Carlingford",5,5,2,466.1m²,"$2,960,000"
3040,"123 Warringah Road, Narraweena",4,2,3,506m²,"$2,475,000"
3041,"68 Hayes Avenue, Kellyville",4,2,2,450m²,"$1,820,000"
3042,"43 Wollongong Street, Shellharbour",3,2,1,413.8m²,"$1,680,000"
3043,"3 Wombeyan Court, Wattle Grove",4,2,2,479m²,"$1,458,000"
3044,"19 Mclaurin Road, Umina Beach",5,3,2,461m²,"$1,400,000"
3045,"19 Fenwick Street, Gledswood Hills",4,2,2,465m²,"$1,360,000"
3046,"154 Gardenia Parade, Greystanes",3,1,1,556m²,"$1,310,000"
3047,"10 Lidell Street, Oakhurst",4,2,3,451m²,"$1,265,000"
3048,"Address available on request, Edmondson Park",4,2,2,452m²,"$1,245,000"
3049,"19 Glendiver Street, Gledswood Hills",4,2,2,400m²,"$1,220,000"
3050,"5 Bosco Place, Schofields",3,2,1,451m²,"$1,200,000"
3051,"26 Hawkesbury Close, Bateau Bay",4,2,4,516m²,"$1,200,000"
3052,"150 Shoalhaven Street, Kiama",4,1,1,556m²,"$1,050,000"
3053,"32 Kingham Circuit, Thornton",4,2,2,496m²,"$980,000"
3054,"48 John Fisher Road, Belmont North",3,1,1,556m²,"$956,000"
3055,"1 Wolseley Place, Ingleburn",3,1,1,598m²,"$935,000"
3056,"48 Yugura Street, Malua Bay",3,2,1,556m²,"$900,000"
3057,"246 Carlisle Avenue, Dharruk",3,1,2,575m²,"$880,000"
3058,"5 Steele Street, Valla Beach",3,2,1,474.2m²,"$875,000"
3059,"8 Clydesdale Street, Wadalba",4,2,2,509m²,"$865,000"
3060,"10 Dianella Way, Aberglasslyn",4,2,2,525m²,"$860,000"
3061,"14 Bracknell Avenue, Hebersham",3,1,4,582m²,"$855,000"
3062,"23 Canary Drive, Goonellabah",4,2,2,600m²,"$855,000"
3063,"29 Riddell Crescent, Blackett",3,1,5,580m²,"$850,000"
3064,"23 Argyll Crescent, Edgeworth",3,2,1,578m²,"$834,000"
3065,"33 Willai Way, Maryland",3,1,2,502m²,"$800,000"
3066,"24 Crawford Street, Queanbeyan",3,2,1,430m²,"$800,000"
3067,"3 Tilligerry Track, Tanilba Bay",4,2,2,474m²,"$780,000"
3068,"20 Regiment Road, Rutherford",3,1,2,590m²,"$729,000"
3069,"49 Fitzgerald Street, Katoomba",2,1,1,461.6m²,"$720,000"
3070,"7 Churchill Avenue, Kooringal",4,2,2,594m²,"$640,000"
3071,"160 Stewart Street, Bathurst",2,1,2,519m²,"$620,000"
3072,"11 Wyangarie Street, Kyogle",3,2,2,531m²,"$595,000"
3073,"38 Murray Street, Harrington",4,2,2,543m²,"$595,000"
3074,"7 Peel Street, Tamworth",4,1,2,556m²,"$550,000"
3075,"11B Francis Street, Moama",3,1,2,455m²,"$530,000"
3076,"27 Racecourse Road, Orange",2,1,1,561m²,"$499,000"
3077,"19 Bowman Street, Gulgong",3,1,1,517m²,"$435,000"
3078,"49 Parr Avenue, North Curl Curl",4,2,2,493m²,"$3,450,000"
3079,"40 Sobraon Road, Marsfield",4,2,2,580.6m²,"$2,650,000"
3080,"46 Eastern Avenue, Panania",5,5,3,470m²,"$2,540,000"
3081,"88 Jersey Avenue, Mortdale",4,3,2,455m²,"$2,388,000"
3082,"24A Mungarra Avenue, St Ives",5,3,2,480m²,"$2,308,888"
3083,"4 Leichhardt Crescent, Sylvania",3,3,2,556m²,"$1,965,000"
3084,"1 Herald Place, Beaumont Hills",4,2,2,501m²,"$1,957,000"
3085,"34 Bladensburg Road, North Kellyville",5,3,2,409m²,"$1,950,000"
3086,"13 Courthouse Street, Kellyville Ridge",5,3,2,465m²,"$1,920,000"
3087,"170 Lawson Street, Hamilton South",4,2,1,407m²,"$1,750,000"
3088,"16 Morris Avenue, Kingsgrove",3,1,1,538m²,"$1,700,000"
3089,"63 Sovereign Avenue, Kellyville Ridge",4,2,2,457m²,"$1,620,000"
3090,"60 Phillips Lane, Tweed Heads",5,3,1,562m²,"$1,505,000"
3091,"21 Nairobi Place, Toongabbie",3,1,1,556m²,"$1,285,000"
3092,"12 Greystanes Way, Carnes Hill",3,2,2,450m²,"$1,280,000"
3093,"8 Childs Close, Green Point",4,2,1,551m²,"$1,275,000"
3094,"4 Dryden Place, Wetherill Park",4,1,1,583m²,"$1,240,000"
3095,"473 Pennant Hills Road, West Pennant Hills",3,1,1,574m²,"$1,100,000"
3096,"28 Buckwell Drive, Hassall Grove",5,2,3,550m²,"$1,050,000"
3097,"23 Cunningdroo Street, Googong",4,2,2,480m²,"$1,025,000"
3098,"19 Grose Avenue, Barrack Heights",5,2,1,557m²,"$920,000"
3099,"1 Barlyn Court, Horsley",4,2,2,582m²,"$915,000"
3100,"85 Franklin Road, Orange",4,1,2,588m²,"$905,000"
3101,"11 Sykes Avenue, Appin",4,2,2,435m²,"$904,000"
3102,"22 Belyando Crescent, Blue Haven",4,2,2,529m²,"$895,000"
3103,"41 Rupert Street, Blackalls Park",4,2,1,458m²,"$890,000"
3104,"10 Andrea Close, Wallsend",3,1,1,494m²,"$810,000"
3105,"60 Kotara Crescent, Unanderra",3,1,1,591.8m²,"$720,000"
3106,"43 BARTON AVENUE, Lloyd",3,2,2,452m²,"$680,000"
3107,"33a Fairydale Lane, Mudgee",3,2,1,502.2m²,"$640,000"
3108,"23 Marnola Crescent, East Tamworth",3,2,1,519m²,"$624,000"
3109,"405 Russell Street, Bathurst",2,1,2,547m²,"$570,000"
3110,"21 Blandford Street, Bathurst",3,1,1,485m²,"$545,000"
3111,"3 Akuna Place, Springdale Heights",3,1,2,523m²,"$494,000"
3112,"2a Babbin Place, Caringbah South",5,3,3,400m²,"$2,630,000"
3113,"114 Bland Street, Ashfield",4,4,3,460m²,"$2,025,000"
3114,"45 Doncaster Avenue, Claremont Meadows",4,2,2,599m²,"$1,388,000"
3115,"175 North Macquarie Road, Calderwood",5,2,2,449m²,"$1,129,000"
3116,"143 Southee Circuit, Oakhurst",6,2,4,563m²,"$1,100,000"
3117,"4 Anegada Road, Lake Cathie",4,2,2,480.4m²,"$1,060,000"
3118,"15 Brett Place, Ingleburn",3,1,1,561.6m²,"$1,052,000"
3119,"17 Blackbird Avenue, Warnervale",4,2,2,450m²,"$1,030,000"
3120,"52 Dunban Road, Woy Woy",3,1,1,579m²,"$1,025,000"
3121,"10 Armitage Drive, Glendenning",3,1,1,450m²,"$1,020,000"
3122,"26 Samantha Crescent, Glendenning",3,1,1,400m²,"$990,000"
3123,"19 Wilberforce Street, Ashcroft",3,1,3,594m²,"$970,000"
3124,"3 Kooralbyn Road, Buchanan",4,2,2,536m²,"$860,000"
3125,"15 Redwood Drive, Gillieston Heights",4,2,2,451m²,"$855,000"
3126,"31 First Avenue North, Warrawong",4,1,1,534m²,"$800,000"
3127,"5 Kestrel Avenue, Old Bar",3,2,2,568.7m²,"$795,000"
3128,"19 Tanunda Close, Holmesville",3,1,2,579.1m²,"$790,000"
3129,"15 Arrowfield Street, Cliftleigh",4,2,,455m²,"$775,000"
3130,"17 Garwood Street, Rutherford",4,2,2,585.9m²,"$756,000"
3131,"605 Settlers Road, Lower Macdonald",2,1,2,538m²,"$745,000"
3132,"20A Warrina Avenue, Summerland Point",3,1,2,487m²,"$700,000"
